id,name,category,description,attributes,information_score,created_at,updated_at
1,Although Smartwatch,electronics,Approach staff organization home peace show product. Majority attention successful movie.,"{""battery_life_hours"": null}",1,2026-04-16 00:53:39.361589,2026-04-16 00:53:39.361594
2,Type Smartwatch,electronics,Deep peace effect detail treatment. Serve above week read evening water they. Past market her option on.,"{""battery_life_hours"": null}",1,2026-04-16 00:53:39.361595,2026-04-16 00:53:39.361596
3,Nearly Smartwatch,electronics,Rich word past south by. Rich care those. Effort vote any medical generation.,"{""battery_life_hours"": 26}",1,2026-04-16 00:53:39.361598,2026-04-16 00:53:39.361599
4,Fast Smartwatch,electronics,Wait can commercial artist. Section far enough manage travel understand choose. Some happen stage defense research TV.,"{""battery_life_hours"": null}",1,2026-04-16 00:53:39.361600,2026-04-16 00:53:39.361601
5,Ball Smartwatch,electronics,"Fill professor those response popular political.
General knowledge attack have last. Type candidate serve include.","{""battery_life_hours"": 65}",2,2026-04-16 00:53:39.361602,2026-04-16 00:53:39.361603
6,Up Smartwatch,electronics,"Three speech all responsibility why if. Card house simple.
Side group manager. Movement career more option speak story.","{""battery_life_hours"": 12}",2,2026-04-16 00:53:39.361604,2026-04-16 00:53:39.361605
7,Bit Smartwatch,electronics,Night attack speak change building short. Talk describe property under source where gun raise.,"{""battery_life_hours"": null}",1,2026-04-16 00:53:39.361606,2026-04-16 00:53:39.361607
8,Cultural Smartwatch,electronics,Run since though brother around from. Seek respond song care important unit admit.,"{""battery_life_hours"": 33}",2,2026-04-16 00:53:39.361608,2026-04-16 00:53:39.361609
9,Individual Smartwatch,electronics,Effect than deep situation community major professor. Forward might teach real interview.,"{""battery_life_hours"": null}",1,2026-04-16 00:53:39.361610,2026-04-16 00:53:39.361610
10,Sometimes Smartwatch,electronics,Trade its voice suffer north. Price effort simple interview experience high.,"{""battery_life_hours"": 37}",1,2026-04-16 00:53:39.361612,2026-04-16 00:53:39.361612
11,Find,grocery,Scene member popular structure and policy.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-16 00:53:39.361613,2026-04-16 00:53:39.361614
12,Simply,grocery,Seven through deep in official across compare different situation together across become.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 00:53:39.361615,2026-04-16 00:53:39.361616
13,Rock,grocery,Up remember board dark perform professional build true.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-16 00:53:39.361617,2026-04-16 00:53:39.361618
14,Thus,grocery,Serious expect financial impact share weight share outside child official.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 00:53:39.361619,2026-04-16 00:53:39.361620
15,Simply,grocery,Throw true focus apply for wait time.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-16 00:53:39.361621,2026-04-16 00:53:39.361622
16,Yet,grocery,Anyone maybe product sing easy last.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 00:53:39.361623,2026-04-16 00:53:39.361624
17,Throw,grocery,Chair number occur mission another fall oil major important need measure arrive age do.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 00:53:39.361625,2026-04-16 00:53:39.361626
18,From,grocery,Organization trip need show each now tend town though fine economic.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 00:53:39.361627,2026-04-16 00:53:39.361628
19,Animal,grocery,Entire pay west personal soldier true.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-16 00:53:39.361629,2026-04-16 00:53:39.361630
20,Mr,grocery,Stuff appear radio section have fall us fire above.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 00:53:39.361631,2026-04-16 00:53:39.361632
21,Me,grocery,Little memory effort painting capital agency detail war cut bag end.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 00:53:39.361633,2026-04-16 00:53:39.361634
22,Maintain,grocery,Stuff color dog coach account may human hour it commercial worker light.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-16 00:53:39.361635,2026-04-16 00:53:39.361636
23,Source,grocery,Value he agree quality against population likely.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 00:53:39.361637,2026-04-16 00:53:39.361638
24,Center,grocery,Choose why mouth billion fight ago.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-16 00:53:39.361639,2026-04-16 00:53:39.361640
25,Avoid,grocery,Same radio spring experience several evidence summer.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 00:53:39.361641,2026-04-16 00:53:39.361642
